List Sr.No.,Set No.,2022 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh
13,2,BA1,Devdutt,Padikkal,India,KSCA,07-07-2000,21,BATSMAN,LHB,RIGHT ARM Off Spin,,,2,29,RCB,RCB,14,Capped,200
14,2,BA1,Manish,Pandey,India,KSCA,10-09-1989,32,BATSMAN,RHB,RIGHT ARM Off Spin,,29,39,154,"MI, RCB, PWI, KKR, SRH",SRH,8,Capped,100
15,2,BA1,Suresh,Raina,India,UPCA,27-11-1986,35,BATSMAN,LHB,RIGHT ARM Off Spin,18,226,78,205,"CSK, GL",CSK,12,Capped,200
16,2,BA1,Jason,Roy,England,,21-07-1990,31,BATSMAN,RHB,-,5,98,53,13,"GL, DC, SRH",SRH,5,Capped,200
17,2,BA1,Steve,Smith,Australia,,02-06-1989,32,BATSMAN,RHB,-,82,128,52,103,"PWI, RPS, RR, DC",DC,8,Capped,200
18,2,BA1,Robin,Uthappa,India,KCA,11-11-1985,36,BATSMAN,RHB,-,,46,13,193,"MI, PWI, RCB, KKR, RR, CSK",CSK,4,Capped,200
19,3,AL1,Shakib,Al Hasan,Bangladesh,,24-03-1987,35,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,59,215,94,71,"SRH, KKR",KKR,8,Capped,200
20,3,AL1,Dwayne,Bravo,West Indies,,07-10-1983,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,40,164,91,151,"MI, GL, CSK",CSK,11,Capped,200
21,3,AL1,Wanindu,Hasaranga,Sri Lanka,,29-07-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,4,29,33,2,RCB,RCB,2,Capped,100
22,3,AL1,Jason,Holder,West Indies,,05-11-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,53,124,30,26,"CSK, KKR, SRH",SRH,8,Capped,150
23,3,AL1,Mitchell,Marsh,Australia,,20-10-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,32,63,36,21,"DCH, PWI, RPS, SRH",,,Capped,200
24,3,AL1,Mohammad,Nabi,Afghanistan,,01-01-1985,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3,127,86,17,SRH,SRH,3,Capped,100
25,3,AL1,Krunal,Pandya,India,BCA,24-03-1991,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,5,19,84,MI,MI,13,Capped,200
26,3,AL1,Harshal,Patel,India,HCA,23-11-1990,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,2,63,"DC, RCB",RCB,15,Capped,200
27,3,AL1,Nitish,Rana,India,DDCA,27-12-1993,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,1,2,77,"MI, KKR",KKR,17,Capped,100
28,3,AL1,Washington,Sundar,India,TNCA,05-10-1999,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,4,1,31,42,RCB,RCB,6,Capped,150
29,4,WK1,Jonny,Bairstow,England,,26-09-1989,32,WICKETKEEPER,RHB,-,80,89,63,28,SRH,SRH,7,Capped,150
30,4,WK1,Sam,Billings,England,,15-06-1991,30,WICKETKEEPER,RHB,-,1,25,33,22,"CSK, DC",DC,0,Capped,200
31,4,WK1,Dinesh,Karthik,India,TNCA,01-06-1985,36,WICKETKEEPER,RHB,-,26,94,32,213,"KXIP, MI, DD, RCB, GL, KKR",KKR,17,Capped,200
32,4,WK1,Ishan,Kishan,India,JSCA,18-07-1998,23,WICKETKEEPER,LHB,-,,2,5,61,"GL , MI",MI,10,Capped,200
33,4,WK1,Nicholas,Pooran,West Indies,,02-10-1995,26,WICKETKEEPER,LHB,-,,34,49,33,"MI, PBKS",PBKS,12,Capped,150
34,4,WK1,Ambati,Rayudu,India,ACA,23-09-1985,36,WICKETKEEPER,RHB,-,,55,6,175,"MI, CSK",CSK,16,Capped,200
35,4,WK1,Wriddhiman,Saha,India,CAB,24-10-1984,37,WICKETKEEPER,RHB,-,40,9,,133,"KKR, CSK, KXIP, SRH",SRH,9,Capped,100
36,4,WK1,Matthew,Wade,Australia,,26-12-1987,34,WICKETKEEPER,LHB,-,36,97,55,3,DD,,,Capped,200
37,5,FA1,Deepak,Chahar,India,RCA,07-08-1992,29,BOWLER,RHB,RIGHT ARM Fast Medium,,5,17,63,"RPS, CSK",CSK,15,Capped,200
38,5,FA1,Lockie,Ferguson,New Zealand,,13-06-1991,30,BOWLER,RHB,RIGHT ARM Fast,1,37,15,22,"RPS, KKR",KKR,8,Capped,200
39,5,FA1,Josh,Hazlewood,Australia,,08-01-1991,31,BOWLER,LHB,RIGHT ARM Fast,56,56,24,12,CSK,CSK,9,Capped,200
40,5,FA1,Prasidh,Krishna,India,KSCA,19-02-1996,26,BOWLER,RHB,RIGHT ARM Fast,,3,,34,KKR,KKR,10,Capped,100
41,5,FA1,Bhuvneshwar,Kumar,India,UPCA,05-02-1990,32,BOWLER,RHB,RIGHT ARM Fast Medium,21,120,55,132,"PWI, SRH",SRH,11,Capped,200
42,5,FA1,T.,Natarajan,India,TNCA,27-05-1991,30,BOWLER,LHB,LEFT ARM Fast,1,2,4,24,"KXIP, SRH",SRH,2,Capped,100
43,5,FA1,Mustafizur,Rahman,Bangladesh,,06-09-1995,26,BOWLER,LHB,LEFT ARM Fast Medium,14,68,61,38,"SRH, MI, RR",RR,14,Capped,200
44,5,FA1,Shardul,Thakur,India,MCA,16-10-1991,30,BOWLER,RHB,RIGHT ARM Fast Medium,7,16,24,61,"KXIP, RPS, CSK",CSK,16,Capped,200
45,5,FA1,Mark,Wood,England,,11-01-1990,32,BOWLER,RHB,RIGHT ARM Fast,25,57,19,1,CSK,,,Capped,200
46,5,FA1,Umesh,Yadav,India,VCA,25-10-1987,34,BOWLER,RHB,RIGHT ARM Fast,52,75,7,121,"DD, KKR,RCB,DC",DC,0,Capped,200
47,6,SP1,Yuzvendra,Chahal,India,HCA,23-07-1990,31,BOWLER,RHB,RIGHT ARM Leg Spin,,56,50,114,"MI,RCB",RCB,15,Capped,200
48,6,SP1,Rahul,Chahar,India,RCA,04-08-1999,22,BOWLER,RHB,RIGHT ARM Leg Spin,,1,6,42,"RPS, MI",MI,11,Capped,75
49,6,SP1,Amit,Mishra,India,HCA,24-11-1982,39,BOWLER,RHB,RIGHT ARM Leg Spin,22,36,10,154,"DCH, SRH, DC",DC,4,Capped,150
50,6,SP1,Adil,Rashid,England,,17-02-1988,34,BOWLER,RHB,RIGHT ARM Leg Spin,19,112,68,1,,PBKS,1,Capped,200
51,6,SP1,Imran,Tahir,South Africa,,27-03-1979,43,BOWLER,RHB,RIGHT ARM Leg Spin,20,107,38,59,"DD, RPS, CSK",CSK,1,Capped,200
52,6,SP1,Kuldeep,Yadav,India,UPCA,14-11-1994,27,BOWLER,LHB,LEFT ARM Slow Unorthodox,7,65,23,45,KKR,KKR,0,Capped,100
53,6,SP1,Mujeeb,Zadran,Afghanistan,,28-03-2001,21,BOWLER,RHB,RIGHT ARM Off Spin,1,43,22,19,"KXIP, SRH",SRH,1,Capped,200
54,6,SP1,Adam,Zampa,Australia,,31-12-1992,29,BOWLER,RHB,RIGHT ARM Leg Spin,,64,57,14,"RPS, RCB",RCB,0,Capped,200
55,7,UBA1,Dewald,Brevis,South Africa,,29-04-2003,18,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
56,7,UBA1,Priyam,Garg,India,UPCA,30-11-2000,21,BATSMAN,RHB,RIGHT ARM Off Spin,,,,19,SRH,SRH,5,Uncapped,20
57,7,UBA1,Ashwin,Hebbar,India,ACA,15-11-1995,26,BATSMAN,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
58,7,UBA1,C.Hari,Nishaanth,India,TNCA,16-08-1996,25,BATSMAN,LHB,RIGHT ARM Off Spin,,,,0,CSK,CSK,0,Uncapped,20
59,7,UBA1,Rajat,Patidar,India,MPCA,01-06-1993,28,BATSMAN,RHB,RIGHT ARM Off Spin,,,,4,RCB,RCB,4,Uncapped,20
60,7,UBA1,Abhinav,Sadarangani,India,KSCA,16-09-1994,27,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
61,7,UBA1,Anmolpreet,Singh,India,PCA,28-03-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,,,,1,MI,MI,1,Uncapped,20
62,7,UBA1,Rahul,Tripathi,India,MACA,02-03-1991,31,BATSMAN,RHB,RIGHT ARM Medium,,,,62,"RPS, RR, KKR",KKR,17,Uncapped,40
63,8,UAL1,Shahbaz,Ahamad,India,CAB,11-12-1994,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,13,RCB,RCB,11,Uncapped,30
64,8,UAL1,Harpreet,Brar,India,PCA,16-09-1995,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,10,PBKS,PBKS,7,Uncapped,20
65,8,UAL1,Deepak,Hooda,India,RCA,19-04-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,80,"RR, SRH, PBKS",PBKS,12,Uncapped,40
66,8,UAL1,Sarfaraz,Khan,India,MCA,22-10-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,40,"RCB,PBKS",PBKS,2,Uncapped,20
67,8,UAL1,Shahrukh,Khan,India,TNCA,27-05-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,11,PBKS,PBKS,11,Uncapped,40
68,8,UAL1,Shivam,Mavi,India,UPCA,26-11-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,26,KKR,KKR,9,Uncapped,40
69,8,UAL1,Kamlesh,Nagarkoti,India,RCA,28-12-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,11,KKR,KKR,1,Uncapped,40
70,8,UAL1,Riyan,Parag,India,ASCA,10-11-2001,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,30,RR,RR,11,Uncapped,30
71,8,UAL1,Abhishek,Sharma,India,PCA,04-09-2000,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,22,SRH,SRH,8,Uncapped,20
72,8,UAL1,Rahul,Tewatia,India,HCA,20-05-1993,28,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,,48,"KXIP,DC, RR",RR,14,Uncapped,40
73,9,UWK1,Mohammed,Azharuddeen,India,KCA,22-03-1994,28,WICKETKEEPER,RHB,-,,,,0,RCB,RCB,0,Uncapped,20
74,9,UWK1,K.S.,Bharat,India,ACA,03-10-1993,28,WICKETKEEPER,RHB,-,,,,8,"DD, RCB",RCB,8,Uncapped,20
75,9,UWK1,Sheldon,Jackson,India,SCA,27-09-1986,35,WICKETKEEPER,RHB,-,,,,4,KKR,KKR,0,Uncapped,30
76,9,UWK1,N.,Jagadeesan,India,TNCA,24-12-1995,26,WICKETKEEPER,RHB,-,,,,5,CSK,CSK,0,Uncapped,20
77,9,UWK1,Anuj,Rawat,India,DDCA,17-10-1999,22,WICKETKEEPER,LHB,-,,,,2,RR,RR,2,Uncapped,20
78,9,UWK1,Jitesh,Sharma,India,VCA,22-10-1993,28,WICKETKEEPER,RHB,-,,,,0,MI,,,Uncapped,20
79,9,UWK1,Prabhsimran,Singh,India,PCA,10-08-2000,21,WICKETKEEPER,RHB,-,,,,5,PBKS,PBKS,2,Uncapped,20
80,9,UWK1,Vishnu,Solanki,India,BCA,15-10-1992,29,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
81,9,UWK1,Vishnu,Vinod,India,KCA,02-12-1993,28,WICKETKEEPER,RHB,-,,,,3,"RCB, DC",DC,0,Uncapped,20
82,10,UFA1,K.M.,Asif,India,KCA,24-07-1993,28,BOWLER,RHB,RIGHT ARM Fast,,,,3,CSK,CSK,1,Uncapped,20
83,10,UFA1,Akash,Deep,India,CAB,15-12-1996,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,0,RCB,RCB,0,Uncapped,20
84,10,UFA1,Tushar,Deshpande,India,MCA,15-05-1995,26,BOWLER,LHB,RIGHT ARM Fast,,,,5,DC,,,Uncapped,20
85,10,UFA1,Avesh,Khan,India,MPCA,13-12-1996,25,BOWLER,RHB,RIGHT ARM Fast,,,,25,DC,DC,16,Uncapped,20
86,10,UFA1,Ishan,Porel,India,CAB,05-09-1998,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,1,PBKS,PBKS,1,Uncapped,20
87,10,UFA1,Ankit Singh,Rajpoot,India,UPCA,04-12-1993,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,29,"CSK, KKR, RR, KXIP",,,Uncapped,20
88,10,UFA1,Basil,Thampi,India,KCA,11-09-1993,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,20,"GL, SRH",SRH,0,Uncapped,30
89,10,UFA1,Kartik,Tyagi,India,UPCA,08-11-2000,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,,14,RR,RR,4,Uncapped,20
90,11,USP1,Noor,Ahmad,Afghanistan,,03-01-2005,17,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,,,,,Uncapped,30
91,11,USP1,Murugan,Ashwin,India,TNCA,08-09-1990,31,BOWLER,RHB,RIGHT ARM Leg Spin,,,,34,"RPS, DD, RCB, PBKS",PBKS,3,Uncapped,20
92,11,USP1,K.C,Cariappa,India,KSCA,13-04-1994,27,BOWLER,RHB,RIGHT ARM Leg Spin,,,,11,"KKR, KXIP, RR",RR,0,Uncapped,20
93,11,USP1,Shreyas,Gopal,India,KSCA,04-09-1993,28,BOWLER,RHB,RIGHT ARM Leg Spin,,,,48,"MI, RR",RR,3,Uncapped,20
94,11,USP1,Sandeep,Lamichhane,Nepal,,02-08-2000,21,BOWLER,RHB,RIGHT ARM Leg Spin,,,,9,DC,,,Associate,40
95,11,USP1,R.,Sai Kishore,India,TNCA,06-11-1996,25,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,0,CSK,CSK,0,Uncapped,20
96,11,USP1,M.,Siddharth,India,TNCA,03-07-1998,23,BOWLER,RHB,LEFT ARM Slow Orthodox,,,,0,"KKR, DC",DC,0,Uncapped,20
97,11,USP1,Jagadeesha,Suchith,India,KSCA,16-01-1994,28,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,17,"MI, DC, KXIP, SRH",SRH,2,Uncapped,20
98,12,BA2,Aaron,Finch,Australia,,17-11-1986,35,BATSMAN,RHB,LEFT ARM Slow Orthodox,5,132,83,87,"RR, DD, PWI, SRH, MI, GL, KXIP, RCB",,,Capped,150
99,12,BA2,Marnus,Labuschagne,Australia,,22-06-1994,27,BATSMAN,RHB,RIGHT ARM Leg Spin,23,13,,,,,,Capped,100
100,12,BA2,Dawid,Malan,England,,03-09-1987,34,BATSMAN,LHB,RIGHT ARM Leg Spin,22,6,36,1,PBKS,PBKS,1,Capped,150
101,12,BA2,Aiden,Markram,South Africa,,04-10-1994,27,BATSMAN,RHB,RIGHT ARM Off Spin,29,35,20,6,PBKS,PBKS,6,Capped,100
102,12,BA2,Eoin,Morgan,England,,10-09-1986,35,BATSMAN,LHB,RIGHT ARM Medium,16,246,113,83,"RCB, SRH,KXIP, KKR",KKR,17,Capped,150
103,12,BA2,Cheteshwar,Pujara,India,SCA,25-01-1988,34,BATSMAN,RHB,RIGHT ARM Leg Spin,95,5,,30,"KKR, RCB, KXIP, CSK",CSK,0,Capped,50
104,12,BA2,Ajinkya,Rahane,India,MCA,06-06-1988,33,BATSMAN,RHB,-,82,90,20,151,"MI, RPS, RR, DC",DC,2,Capped,100
105,12,BA2,Mandeep,Singh,India,PCA,18-12-1991,30,BATSMAN,RHB,RIGHT ARM Medium,,,3,105,"RCB, PBKS",PBKS,1,Capped,50
106,12,BA2,Saurabh,Tiwary,India,JSCA,30-12-1989,32,BATSMAN,LHB,RIGHT ARM Off Spin,,3,,93,"RCB,DD,RPS,MI",MI,5,Capped,50
107,13,AL2,Dominic,Drakes,West Indies,,06-02-1998,24,ALL-ROUNDER,LHB,LEFT ARM Fast,,,3,0,CSK,CSK,0,Capped,75
108,13,AL2,Shivam,Dube,India,MCA,26-06-1993,28,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,1,13,24,"RCB, RR",RR,9,Capped,50
109,13,AL2,K.,Gowtham,India,KSCA,20-10-1988,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,1,,24,"MI, RR, KXIP, CSK",CSK,0,Capped,50
110,13,AL2,Marco,Jansen,South Africa,,01-05-2000,21,ALL-ROUNDER,RHB,LEFT ARM Fast,3,1,,2,MI,MI,2,Capped,50
111,13,AL2,Chris,Jordan,England,,04-10-1988,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,8,34,71,24,"RCB, SRH, PBKS",PBKS,4,Capped,200
112,13,AL2,Liam,Livingstone,England,,04-08-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,3,14,9,RR,RR,5,Capped,100
113,13,AL2,James,Neesham,New Zealand,,17-09-1990,31,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,12,66,38,12,"DD, KXIP, MI",MI,3,Capped,150
114,13,AL2,Vijay,Shankar,India,TNCA,26-01-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,12,8,47,"CSK, DD, SRH",SRH,7,Capped,50
115,13,AL2,Odean,Smith,West Indies,,01-11-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,,3,5,,,,,Capped,100
116,13,AL2,Jayant,Yadav,India,HCA,22-01-1990,32,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,5,1,,19,"DD, MI",MI,5,Capped,100
117,14,FA2,Syed Khaleel,Ahmed,India,RCA,05-12-1997,24,BOWLER,RHB,LEFT ARM Fast,,11,14,24,"DD, SRH",SRH,7,Capped,50
118,14,FA2,Dushmanta,Chameera,Sri Lanka,,11-01-1992,30,BOWLER,RHB,RIGHT ARM Fast,12,37,39,0,RR,,,Capped,50
119,14,FA2,Sheldon,Cottrell,West Indies,,19-08-1989,32,BOWLER,RHB,LEFT ARM Fast Medium,2,38,34,6,KXIP,,,Capped,75
120,14,FA2,Nathan,Coulter-Nile,Australia,,11-10-1987,34,BOWLER,RHB,RIGHT ARM Fast Medium,,32,28,38,"DD, KKR, RCB, MI",MI,5,Capped,200
121,14,FA2,Lungisani,Ngidi,South Africa,,29-03-1996,26,BOWLER,RHB,RIGHT ARM Fast,13,30,23,14,CSK,CSK,3,Capped,50
122,14,FA2,Navdeep,Saini,India,DDCA,23-11-1992,29,BOWLER,RHB,RIGHT ARM Fast,2,8,11,28,"DD, RCB",RCB,2,Capped,75
123,14,FA2,Chetan,Sakariya,India,SCA,28-02-1998,24,BOWLER,LHB,LEFT ARM Fast Medium,,1,2,14,RR,RR,14,Capped,50
124,14,FA2,Ishant,Sharma,India,DDCA,02-09-1988,33,BOWLER,RHB,RIGHT ARM Fast,105,80,14,93,"KKR, DCH,SRH,RPS, KXIP, DC",DC,2,Capped,150
125,14,FA2,Sandeep,Sharma,India,UTCA,18-05-1993,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,2,99,"KXIP, SRH",SRH,13,Capped,50
126,14,FA2,Jaydev,Unadkat,India,SCA,18-10-1991,30,BOWLER,RHB,LEFT ARM Fast Medium,1,7,10,86,"KKR,RCB, DD, RPS, RR",RR,6,Capped,75
127,15,SP2,Qais,Ahmad,Afghanistan,,15-08-2000,21,BOWLER,RHB,RIGHT ARM Leg Spin,1,,1,,,,,Capped,50
128,15,SP2,Piyush,Chawla,India,GUCA,24-12-1988,33,BOWLER,LHB,RIGHT ARM Leg Spin,3,25,7,165,"KXIP, KKR, CSK, MI",MI,1,Capped,100
129,15,SP2,Mayank,Markande,India,PCA,11-11-1997,24,BOWLER,RHB,RIGHT ARM Leg Spin,,,1,18,"MI, RR",RR,1,Capped,50
130,15,SP2,Shahbaz,Nadeem,India,JSCA,12-08-1989,32,BOWLER,RHB,LEFT ARM Slow Orthodox,2,,,72,"DD, SRH",SRH,1,Capped,50
131,15,SP2,Tabraiz,Shamsi,South Africa,,18-02-1990,32,BOWLER,LHB,LEFT ARM Slow Unorthodox,2,28,41,5,"RCB, RR",RR,1,Capped,100
132,15,SP2,Karn,Sharma,India,RSPB,23-10-1987,34,BOWLER,LHB,RIGHT ARM Leg Spin,1,2,1,68,"RCB, SRH, MI, CSK",CSK,0,Capped,50
133,15,SP2,Ish,Sodhi,New Zealand,,31-10-1992,29,BOWLER,RHB,RIGHT ARM Leg Spin,17,33,66,8,RR,,,Capped,50
134,15,SP2,Maheesh,Theekshana,Sri Lanka,,01-08-2000,21,BOWLER,RHB,RIGHT ARM Off Spin,,1,10,,,,,Capped,50
135,16,UBA2,Sachin,Baby,India,KCA,18-12-1988,33,BATSMAN,LHB,RIGHT ARM Off Spin,,,,19,"RR, SRH, RCB",RCB,1,Uncapped,20
136,16,UBA2,Ricky,Bhui,India,ACA,29-09-1996,25,BATSMAN,RHB,RIGHT ARM Off Spin,,,,2,SRH,,,Uncapped,20
137,16,UBA2,Himanshu,Rana,India,HCA,01-10-1998,23,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
138,16,UBA2,Harnoor,Singh,India,UTCA,30-01-2003,19,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
139,16,UBA2,Himmat,Singh,India,DDCA,08-11-1996,25,BATSMAN,RHB,RIGHT ARM Off Spin,,,,0,RCB,,,Uncapped,20
140,16,UBA2,Rinku,Singh,India,UPCA,12-10-1997,24,BATSMAN,LHB,RIGHT ARM Off Spin,,,,11,KKR,,,Uncapped,20
141,16,UBA2,Virat,Singh,India,JSCA,08-12-1997,24,BATSMAN,LHB,RIGHT ARM Off Spin,,,,3,SRH,SRH,3,Uncapped,20
142,16,UBA2,Manan,Vohra,India,UTCA,18-07-1993,28,BATSMAN,RHB,-,,,,53,"KXIP, RCB, RR",RR,4,Uncapped,20
143,17,UAL2,Raj Angad,Bawa,India,UTCA,12-11-2002,19,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
144,17,UAL2,Yash,Dhull,India,DDCA,11-11-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
145,17,UAL2,Rajvardhan,Hangargekar,India,MACA,10-11-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,30
146,17,UAL2,Mahipal,Lomror,India,RCA,16-11-1999,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,11,RR,RR,4,Uncapped,40
147,17,UAL2,Darshan,Nalkande,India,VCA,04-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,0,PBKS,PBKS,0,Uncapped,20
148,17,UAL2,Vicky,Ostwal,India,MACA,01-09-2002,19,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
149,17,UAL2,Ripal,Patel,India,GUCA,28-09-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,2,DC,DC,2,Uncapped,20
150,17,UAL2,Anukul,Roy,India,JSCA,30-11-1998,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,1,MI,MI,0,Uncapped,20
151,17,UAL2,N. Tilak,Varma,India,HYCA,08-11-2002,19,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
152,17,UAL2,Lalit,Yadav,India,DDCA,03-01-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,7,DC,DC,7,Uncapped,20
153,17,UAL2,Sanjay,Yadav,India,TNCA,10-05-1995,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,0,"KKR, SRH",,,Uncapped,20
154,18,UFA2,Yash,Dayal,India,UPCA,13-12-1997,24,BOWLER,RHB,LEFT ARM Fast,,,,,,,,Uncapped,20
155,18,UFA2,Arzan,Nagwaswalla,India,GUCA,17-10-1997,24,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
156,18,UFA2,Kuldeep,Sen,India,MPCA,22-10-1996,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
157,18,UFA2,Akash,Singh,India,RCA,26-04-2002,19,BOWLER,RHB,LEFT ARM Fast,,,,1,RR,RR,1,Uncapped,20
158,18,UFA2,Simarjeet,Singh,India,DDCA,17-01-1998,24,BOWLER,RHB,RIGHT ARM Fast,,,,0,MI,MI,0,Uncapped,20
159,18,UFA2,Yash,Thakur,India,VCA,28-12-1998,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
160,18,UFA2,Vasu,Vats,India,UPCA,08-09-2002,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
161,18,UFA2,Mujtaba,Yousuf,India,JKCA,07-06-2002,19,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20
162,19,BA3,Finn,Allen,New Zealand,,22-04-1999,22,BATSMAN,RHB,RIGHT ARM Off Spin,,,6,0,RCB,RCB,0,Capped,50
163,19,BA3,Devon,Conway,New Zealand,,08-07-1991,30,BATSMAN,LHB,RIGHT ARM Medium,5,3,20,,,,,Capped,100
164,19,BA3,Alex,Hales,England,,03-01-1989,33,BATSMAN,RHB,-,11,70,60,6,"MI, SRH",,,Capped,150
